,Subject,Gain,Loss,Nothing,Learner,
1,301,0.89735025,0.57878043,0.097247132,0,
2,302,0.962181671,0.78879536,0.351567228,1,
3,304,0.881142394,0.775539331,0.535241725,1,
4,306,0.594803617,0.809078731,0.890578879,0,
5,311,0.556415995,0.589418466,0.568753213,0,
6,312,0.113454987,0.693958774,0.821713591,0,
7,313,0.989194763,0.904808363,0.853437173,1,
8,315,0.966184904,0.802257829,0.300653221,1,
9,316,0.492298955,0.573249434,0.624811422,0,
10,318,0.485257187,0.518569783,0.378655831,0,
11,319,0.956779052,0.578492411,0.57372901,0,
12,321,0.935168579,0.824278721,0.193592598,1,
13,322,0.979162506,0.778569249,0.151273316,1,
14,323,0.848726684,0.762943922,0.611122259,1,
15,325,0.875739776,0.842720918,0.077693862,1,
16,327,0.972986908,0.916035676,0.041817015,1,
17,328,0.672256659,0.613185664,0.48742746,1,
18,329,0.632621946,0.739143437,0.391273124,1,
19,330,0.951376434,0.625464354,0.735271696,1,
20,331,0.156675935,0.630934349,0.208344048,0,
21,333,0.703826868,0.561115984,0.519314152,0,
22,334,0.802370274,0.527019599,0.552883612,0,
23,336,0.956779052,0.853659919,0.353805509,1,
24,337,0.534857809,0.46285595,0.481989724,0,
25,338,0.400608667,0.569191683,0.616561368,0,
26,340,0.854129302,0.580381175,0.24311783,0,
27,341,0.917173043,0.852172856,0.328173143,1,
28,342,0.843324065,0.701473675,0.489788424,1,
29,344,0.92976596,0.646852663,0.797977778,1,
30,345,0.94040453,0.891947631,0.054026184,1,
31,346,0.989194763,0.967584289,0.021610474,1,
32,347,0.886545013,0.656315978,0.525232714,1,
33,349,0.495693464,0.456188341,0.524161822,0,
34,350,0.186610393,0.890410679,0.972986908,0,
,,,,,,19
,,,,,,15
